track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,duration_ms,explicit,external_url,query_genre
39PX4B5GjiF4sfIukPOxBm,Lo que sobra de mí,1tZ99AnqyjgrmPwLfGU5eo,Fito y Fitipaldis,5OlfTqv9K5yzd2nvgPdpmj,Huyendo conmigo de mí,2014-10-28,,220120,False,https://open.spotify.com/track/39PX4B5GjiF4sfIukPOxBm,rock
1ZQBNWTU4U4l5A8noMJzLE,Del Tiempo Perdido,3WQRkINylwwkw1Ya07ToRK,Robe,7a6ORY3ZEzWgFJcUtPolYA,"Destrozares, Canciones para el Final de los Tiempos",2016-11-18,,429000,False,https://open.spotify.com/track/1ZQBNWTU4U4l5A8noMJzLE,rock
7hnBKgmPvZ2zzOTQRfMky9,Vulnerable (feat. Dani Fernández),6tvDaHOPNWfkc9Q8IghqSR,Walls,5dr5f9aeHuDORZXkJIQWGB,El Día que me Olvides,2026-01-16,,193111,False,https://open.spotify.com/track/7hnBKgmPvZ2zzOTQRfMky9,rock
6HSXNV0b4M4cLJ7ljgVVeh,Knockin' On Heaven's Door,74ASZWbe4lXaubB36ztrGX,Bob Dylan,2Pj2kZM5XpyIeyFBTAVulL,Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture),1973-07-13,,149880,False,https://open.spotify.com/track/6HSXNV0b4M4cLJ7ljgVVeh,rock
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,3myPwaMYjdwhtq0nFgeG6W,Songs From The Big Chair (Super Deluxe Edition),1985-02-25,,251488,False,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE,rock
2STOG0u2WCpsBvPdXr4NkZ,Guerrero,3WQRkINylwwkw1Ya07ToRK,Robe,7vrBmaIDGFTdQvbrPW35ET,Lo Que Aletea en Nuestras Cabezas,2015-06-09,,379440,False,https://open.spotify.com/track/2STOG0u2WCpsBvPdXr4NkZ,rock
2Eukc5LkoDOGFYxOJ38ZTX,Garabatos,1tZ99AnqyjgrmPwLfGU5eo,Fito y Fitipaldis,5OlfTqv9K5yzd2nvgPdpmj,Huyendo conmigo de mí,2014-10-28,,280293,False,https://open.spotify.com/track/2Eukc5LkoDOGFYxOJ38ZTX,rock
3fjmSxt0PskST13CSdBUFx,Somewhere I Belong,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,0f7R0jf0pcTb6K6IVVPcMD,Meteora (Bonus Edition),2003-03-25,,213933,False,https://open.spotify.com/track/3fjmSxt0PskST13CSdBUFx,rock
3DwQ7AH3xGD9h65ezslm6q,Enter Sandman - Remastered 2021,2ye2Wgw4gimLv2eAKyk1NB,Metallica,7h5xn0Olvx2p0eQcSt1Osy,Metallica (Remastered Deluxe Box Set),2021-09-10,,331560,False,https://open.spotify.com/track/3DwQ7AH3xGD9h65ezslm6q,rock
48UPSzbZjgc449aqz8bxox,Californication,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,2Y9IRtehByVkegoD7TcLfi,Californication (Deluxe Edition),1999-06-08,,329733,False,https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox,rock
2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,711MCceyCBcFnzjGY4Q7Un,AC/DC,6mUdeDZCsExyJLMdAfDuwh,Back In Black,1980-07-25,,210328,False,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo,rock
64BbK9SFKH2jk86U3dGj2P,Otherside,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,2Y9IRtehByVkegoD7TcLfi,Californication (Deluxe Edition),1999-06-08,,255373,False,https://open.spotify.com/track/64BbK9SFKH2jk86U3dGj2P,rock
6kQQ1rfAoHNPPi5TAwxZ1v,Hasta que me quede sin voz,5Hsv8dUHHOdnn72q4XIVz7,Leiva,1a9zBNjuot6DwC0KElxQQx,Hasta que me quede sin voz,2025-10-10,,306861,False,https://open.spotify.com/track/6kQQ1rfAoHNPPi5TAwxZ1v,rock
78FJd3BMjDQCA1Hh2QfKqS,Voy a pasármelo bien,60uh2KYYSCqAgJNxcU4DA0,Hombres G,50XOsvW7uGrpaCtzqUm2bv,Voy A Pasarmelo Bien,1989,,235080,False,https://open.spotify.com/track/78FJd3BMjDQCA1Hh2QfKqS,rock
0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,58lV9VcRSjABbAbfWS6skp,Bon Jovi,0Q9SljCrM0CL0bR23MuP69,Crush,2000-01-01,,224493,False,https://open.spotify.com/track/0v1XpBHnsbkCn7iJ9Ucr1l,rock
18lR4BzEs7e3qzc0KVkTpU,What I've Done,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,2tlTBLz2w52rpGCLBGyGw6,Minutes to Midnight,2007-05-14,,205226,False,https://open.spotify.com/track/18lR4BzEs7e3qzc0KVkTpU,rock
0yac0FPhLRH9i9lOng3f81,Everybody's Changing,53A0W3U0s8diEn9RhXQhVz,Keane,0MlTOiC5ZYKFGeZ8h3D4rd,Hopes And Fears,2004-05-10,,215880,False,https://open.spotify.com/track/0yac0FPhLRH9i9lOng3f81,rock
7ygpwy2qP3NbrxVkHvUhXY,Wonderwall - Remastered,2DaxqgrOhkeH0fpeiQq2f4,Oasis,6tOe4eAF8xNhEkl9WyvsE4,(What's The Story) Morning Glory? (Deluxe Remastered Edition),1995,,258773,False,https://open.spotify.com/track/7ygpwy2qP3NbrxVkHvUhXY,rock
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,0BwWUstDMUbgq2NYONRqlu,Rumours (Super Deluxe),1977-02-04,,270213,False,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU,rock
